code,branch,sex_require1,seat1,sex_require2,seat2,sex_require3,seat3
FCN16,ซอยวัดพระเงิน,Both,2,Both,2,Both,2
FCN17,ซอยสุภาพงษ์,Both,2,Both,2,Both,2
FCN18,ซีเจ มอร์ นวลจันทร์,Both,2,Both,2,Both,2
FCN19,ดอนหวาย,Both,2,Both,2,Both,2
FCN20,ดีซี สาย 5,Both,2,Both,2,Both,2
FCN21,เดอะพร้อม ดินแดง,Both,2,Both,2,Both,2
FCN22,เดอะมอลล์ ท่าพระ,Both,2,Both,2,Both,2
FCN23,ต้นสัก มาร์เก็ต (สนามบินน้ำ),Both,2,Both,2,Both,2
FCN24,ตรงข้ามแม็คโครศาลายา,Both,2,Both,2,Both,2
FCN25,ตรัง (ตรงข้ามโรบินสันตรัง),Both,2,Both,2,Both,2
FCN26,ตลาดมรกต 2 จ.ชุมพร,Both,2,Both,2,Both,2
FCN27,ตลาดหนองดอก ลำพูน,Both,2,Both,2,Both,2
FCN28,ตลาดหางดง,Both,2,Both,2,Both,2
FCN29,ถนนสุเทพ,Both,2,Both,2,Both,2
FCN30,ทองหล่อ หน้ารพ.คามิลเลียน,Both,2,Both,2,Both,2
FCN31,ทาวน์ อิน ทาวน์,Both,2,Both,2,Both,2
FCN32,ท่าอิฐ,Both,2,Both,2,Both,2
FCN33,นครปฐม,Both,2,Both,2,Both,2
FCN34,นครศรีธรรมราช,Both,2,Both,2,Both,2
FCN35,บางบัวทอง,Both,2,Both,2,Both,2
FCN36,บ้านดู่,Both,2,Both,2,Both,2
FCN37,บิ๊กซี กรีนเวลท์ พระราม 2,Both,2,Both,2,Both,2
FCN38,บีบีบางใหญ่ 1,Both,2,Both,2,Both,2
FCN39,ปตท.แจ้งวัฒนะ,Both,2,Both,2,Both,2
FCN40,ปตท.นครชัยศรี,Both,2,Both,2,Both,2
FCN41,ปตท.บ่อวิน (ชลบุรี),Both,2,Both,2,Both,2
FCN42,ปตท.บางกรวย-ไทรน้อย,Both,2,Both,2,Both,2
FCN43,ปตท.เยื้องรพ.ราชพฤกษ์ ขอนแก่น,Both,2,Both,2,Both,2
FCN44,ปตท.เลียบคลองทวีวัฒนา,Both,2,Both,2,Both,2
FCN45,ปตท.เลียบคลองประปา,Both,2,Both,2,Both,2
FCN46,ปตท. วิภาวดี,Both,2,Both,2,Both,2
FCN47,ปตท. สนามเป้า	,Both,2,Both,2,Both,2
FCN48,ปตท. สุขาภิบาล 2,Both,2,Both,2,Both,2
FCN49,ปตท.แหลมฉบัง,Both,2,Both,2,Both,2
FCN50,พัทยา,Both,2,Both,2,Both,2
FCN51,พัทยากลาง,Both,2,Both,2,Both,2
FCN52,พัทยาเขาตาโล,Both,2,Both,2,Both,2
FCN53,พัทยาเขาน้อย,Both,2,Both,2,Both,2
FCN54,พัทยาตลาดไร่วนาสินธุ์,Both,2,Both,2,Both,2
FCN55,พัทยาใต้,Both,2,Both,2,Both,2
FCN56,พัทยาเทพประสิทธิ์,Both,2,Both,2,Both,2
FCN57,พัทยานาเกลือ,Both,2,Both,2,Both,2
FCN58,พัทยานำชัย,Both,2,Both,2,Both,2
FCN59,พิษณุโลก เยื้อง รพ.กรุงเทพ,Both,2,Both,2,Both,2
FCN60,พุทธมณฑลสาย 2,Both,2,Both,2,Both,2
FCN61,แพชชั่น ระยอง,Both,2,Both,2,Both,2
FCN62,แพร่,Both,2,Both,2,Both,2
FCN63,มาร์เก็ตเพลส เทพรักษ์,Both,2,Both,2,Both,2
FCN64,มาร์เก็ตวิลเลจ สุวรรณภูมิ,Both,2,Both,2,Both,2
FCN65,แม็คโครคลองหลวง,Both,2,Both,2,Both,2
FCN66,แม็คโครปิ่นเกล้า,Both,2,Both,2,Both,2
FCN67,แม็คโครรามคำแหง24,Both,2,Both,2,Both,2
FCN68,แม่ริม  เชียงใหม่,Both,2,Both,2,Both,2
FCN69,แม่สาย,Both,2,Both,2,Both,2
FCN70,แยกปราณบุรี,Both,2,Both,2,Both,2
FCN71,รพ.ธรรมศาสตร์เฉลิมพระเกียรติ,Both,2,Both,2,Both,2
FCN72,รามคำแหง 129,Both,2,Both,2,Both,2
FCN73,โรงพยาบาลขอนแก่น,Both,2,Both,2,Both,2
FCN74,โรงพยาบาลนครปฐม,Both,2,Both,2,Both,2
FCN75,โรบินสัน จันทบุรี,Both,2,Both,2,Both,2
FCN76,ศิริราช ท่าน้ำ 1,Both,2,Both,2,Both,2
FCN77,ศูนย์ยาเชียงใหม่,Both,2,Both,2,Both,2
FCN78,สงขลาบุรี,Both,2,Both,2,Both,2
FCN79,สรงประภา ดอนเมือง,Both,2,Both,2,Both,2
FCN80,สวนดอก,Both,2,Both,2,Both,2
FCN81,สัตหีบ กม.10,Both,2,Both,2,Both,2
FCN82,สาขาปตท.บางละมุง (บ้านสุขาวดี),Both,2,Both,2,Both,2
FCN83,สายไหมอเวนิว,Both,2,Both,2,Both,2
FCN84,สี่แยกทศกัณฑ์ พุทธมณฑล สาย2,Both,2,Both,2,Both,2
FCN85,สีลม (ละลายทรัพย์),Both,2,Both,2,Both,2
FCN86,สุขุมวิท 24,Both,2,Both,2,Both,2
FCN87,หน้าด่านแม่สาย,Both,2,Both,2,Both,2
FCN88,หน้ารพ.ตรัง,Both,2,Both,2,Both,2
FCN89,หน้า รพ.ลำปาง,Both,2,Both,2,Both,2
FCN90,หน้ารพ. ศรีบุรินทร์ แม่สาย,Both,2,Both,2,Both,2
FCN91,หน้า รพ.อุบลรักษ์,Both,2,Both,2,Both,2
FCN92,หน้ารร.กาญจนานุเคราะห์,Both,2,Both,2,Both,2
FCN93,หน้าโลตัสชัยภูมิ,Both,2,Both,2,Both,2
FCN94,หัวหิน มาร์เก็ต วิลเลจ,Both,2,Both,2,Both,2
FCN95,อมตะ ชลบุรี,Both,2,Both,2,Both,2
FCN96,อรุณอมรินทร์,Both,2,Both,2,Both,2
FCN97,อุบลสแควร์,Both,2,Both,2,Both,2
FCN98,Caltex นาจอมเทียน-แยกบ้านอำเภอ,Both,2,Both,2,Both,2
